Title,Sumary,Sumary Length,Sections Length,Text Length,Word Count,Language Count,Pageviews
Jock Haswell,"Major  Chetwynd John Drake ""Jock"" Haswell (18 July 1919 – 21 January 2018), who also wrote as George",249,3,2153,337,1,"{'2023-10-24': 1, '2023-10-25': 0, '2023-10-26': 0, '2023-10-27': 1, '2023-10-28': 1, '2023-10-29': 0, '2023-10-30': 0, '2023-10-31': 1, '2023-11-01': None, '2023-11-02': 0, '2023-11-03': None, '2023-11-04': None, '2023-11-05': 0, '2023-11-06': 0, '2023-11-07': 1, '2023-11-08': 1, '2023-11-09': 1, '2023-11-10': 1, '2023-11-11': 1, '2023-11-12': 2, '2023-11-13': 1, '2023-11-14': 1, '2023-11-15': 1, '2023-11-16': 1, '2023-11-17': 0, '2023-11-18': 0, '2023-11-19': 1, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': None, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': 1, '2023-11-26': 0, '2023-11-27': None, '2023-11-28': None, '2023-11-29': 1, '2023-11-30': 0, '2023-12-01': 1, '2023-12-02': 1, '2023-12-03': 2, '2023-12-04': 1, '2023-12-05': 1, '2023-12-06': None, '2023-12-07': 0, '2023-12-08': 1, '2023-12-09': 0, '2023-12-10': None, '2023-12-11': 0, '2023-12-12': None, '2023-12-13': 0, '2023-12-14': None, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': 4, '2023-12-19': 1, '2023-12-20': 0, '2023-12-21': 0, '2023-12-22': 3}"
LMSR,"LMSR may refer to:

London, Midland and Scottish Railway, a former British railway company (1923-194",225,0,225,29,1,"{'2023-10-24': None, '2023-10-25': 1, '2023-10-26': 3, '2023-10-27': None, '2023-10-28': 3, '2023-10-29': 1, '2023-10-30': 1, '2023-10-31': 0, '2023-11-01': 3, '2023-11-02': 1, '2023-11-03': 4, '2023-11-04': 0, '2023-11-05': 5, '2023-11-06': 2, '2023-11-07': 1, '2023-11-08': 1, '2023-11-09': 0, '2023-11-10': 1, '2023-11-11': 2, '2023-11-12': 1, '2023-11-13': 2, '2023-11-14': 2, '2023-11-15': 2, '2023-11-16': 2, '2023-11-17': 0, '2023-11-18': 2, '2023-11-19': 1, '2023-11-20': 1, '2023-11-21': 2, '2023-11-22': 1, '2023-11-23': 1, '2023-11-24': None, '2023-11-25': 1, '2023-11-26': 0, '2023-11-27': 2, '2023-11-28': 1, '2023-11-29': 2, '2023-11-30': 1, '2023-12-01': 2, '2023-12-02': 5, '2023-12-03': 2, '2023-12-04': 2, '2023-12-05': 1, '2023-12-06': 2, '2023-12-07': 3, '2023-12-08': 1, '2023-12-09': 2, '2023-12-10': 0, '2023-12-11': 1, '2023-12-12': 0, '2023-12-13': 0, '2023-12-14': None, '2023-12-15': 2, '2023-12-16': 1, '2023-12-17': 0, '2023-12-18': None, '2023-12-19': 2, '2023-12-20': 0, '2023-12-21': 0, '2023-12-22': 2}"
Aachen,"Aachen (  AH-khən, German: [ˈaːxn̩] ; French and traditional English: Aix-la-Chapelle; Aachen dialec",2876,23,46251,7318,117,"{'2023-10-24': 1385, '2023-10-25': 1198, '2023-10-26': 1168, '2023-10-27': 1256, '2023-10-28': 1271, '2023-10-29': 1317, '2023-10-30': 1225, '2023-10-31': 1138, '2023-11-01': 1271, '2023-11-02': 1131, '2023-11-03': 1213, '2023-11-04': 1305, '2023-11-05': 1340, '2023-11-06': 1254, '2023-11-07': 1259, '2023-11-08': 1362, '2023-11-09': 1210, '2023-11-10': 1194, '2023-11-11': 1224, '2023-11-12': 1334, '2023-11-13': 1451, '2023-11-14': 1233, '2023-11-15': 1323, '2023-11-16': 1186, '2023-11-17': 1169, '2023-11-18': 1292, '2023-11-19': 1366, '2023-11-20': 1341, '2023-11-21': 1306, '2023-11-22': 1259, '2023-11-23': 1212, '2023-11-24': 1248, '2023-11-25': 1635, '2023-11-26': 1640, '2023-11-27': 1390, '2023-11-28': 1323, '2023-11-29': 1379, '2023-11-30': 1398, '2023-12-01': 1240, '2023-12-02': 1339, '2023-12-03': 1230, '2023-12-04': 1306, '2023-12-05': 1374, '2023-12-06': 1396, '2023-12-07': 1339, '2023-12-08': 1382, '2023-12-09': 1680, '2023-12-10': 1685, '2023-12-11': 1478, '2023-12-12': 1402, '2023-12-13': 1310, '2023-12-14': 1604, '2023-12-15': 1473, '2023-12-16': 1403, '2023-12-17': 1768, '2023-12-18': 1655, '2023-12-19': 1431, '2023-12-20': 1359, '2023-12-21': 1338, '2023-12-22': 1336}"
Tweedy,"Tweedy may refer to:

Tweedy (surname)
Tweedy (band), an American rock band
USS Tweedy (DE-532), a U",209,1,227,36,2,"{'2023-10-24': 1, '2023-10-25': 4, '2023-10-26': None, '2023-10-27': 5, '2023-10-28': 2, '2023-10-29': 4, '2023-10-30': 0, '2023-10-31': 4, '2023-11-01': 0, '2023-11-02': 3, '2023-11-03': 0, '2023-11-04': None, '2023-11-05': 0, '2023-11-06': 5, '2023-11-07': 3, '2023-11-08': 0, '2023-11-09': 2, '2023-11-10': 11, '2023-11-11': 5, '2023-11-12': 3, '2023-11-13': 4, '2023-11-14': 4, '2023-11-15': 5, '2023-11-16': 5, '2023-11-17': 2, '2023-11-18': 1, '2023-11-19': 3, '2023-11-20': 4, '2023-11-21': 1, '2023-11-22': 2, '2023-11-23': 0, '2023-11-24': 3, '2023-11-25': 3, '2023-11-26': 1, '2023-11-27': 2, '2023-11-28': 3, '2023-11-29': 2, '2023-11-30': 0, '2023-12-01': 2, '2023-12-02': 1, '2023-12-03': 2, '2023-12-04': 1, '2023-12-05': None, '2023-12-06': 3, '2023-12-07': 1, '2023-12-08': 5, '2023-12-09': 3, '2023-12-10': 5, '2023-12-11': 4, '2023-12-12': 0, '2023-12-13': 3, '2023-12-14': 5, '2023-12-15': 4, '2023-12-16': 5, '2023-12-17': 2, '2023-12-18': 0, '2023-12-19': 2, '2023-12-20': 0, '2023-12-21': 3, '2023-12-22': 6}"
"All Saints' Church, South Leverton","All Saints’ Church, South Leverton is a Grade II* listed parish church in the Church of England in S",131,2,1085,166,1,"{'2023-10-24': 1, '2023-10-25': 1, '2023-10-26': 1, '2023-10-27': 0, '2023-10-28': None, '2023-10-29': 1, '2023-10-30': 2, '2023-10-31': None, '2023-11-01': None, '2023-11-02': None, '2023-11-03': 0, '2023-11-04': 0, '2023-11-05': None, '2023-11-06': 0, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': 0, '2023-11-11': 0, '2023-11-12': 0, '2023-11-13': None, '2023-11-14': 1, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 0, '2023-11-18': None, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': None, '2023-11-26': 0, '2023-11-27': 0, '2023-11-28': None, '2023-11-29': None, '2023-11-30': 0, '2023-12-01': 0, '2023-12-02': None, '2023-12-03': 0, '2023-12-04': 1, '2023-12-05': 2, '2023-12-06': 0, '2023-12-07': 2, '2023-12-08': 0, '2023-12-09': 0, '2023-12-10': 0, '2023-12-11': 1, '2023-12-12': 1, '2023-12-13': 0, '2023-12-14': 0, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': None, '2023-12-19': 1, '2023-12-20': None, '2023-12-21': 0, '2023-12-22': 0}"
Rafy Bon,"Rafy Bon (Persian: رفع بن, also Romanized as Rafyʿ Bon) is a village in Sajjadrud Rural District, Ba",244,0,244,39,5,"{'2023-10-24': 0, '2023-10-25': 0, '2023-10-26': 0, '2023-10-27': 2, '2023-10-28': 0, '2023-10-29': 0, '2023-10-30': 0, '2023-10-31': 0, '2023-11-01': 0, '2023-11-02': 0, '2023-11-03': 0, '2023-11-04': 0, '2023-11-05': 0, '2023-11-06': 0, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': 0, '2023-11-10': 1, '2023-11-11': 0, '2023-11-12': 0, '2023-11-13': 0, '2023-11-14': 0, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 1, '2023-11-18': 0, '2023-11-19': 0, '2023-11-20': 1, '2023-11-21': 0, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': 0, '2023-11-26': 0, '2023-11-27': 0, '2023-11-28': 0, '2023-11-29': 0, '2023-11-30': 0, '2023-12-01': 0, '2023-12-02': 0, '2023-12-03': 0, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': 2, '2023-12-07': 0, '2023-12-08': 0, '2023-12-09': 0, '2023-12-10': 0, '2023-12-11': 0, '2023-12-12': 1, '2023-12-13': 0, '2023-12-14': 1, '2023-12-15': 0, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': 0, '2023-12-19': 0, '2023-12-20': 0, '2023-12-21': 0, '2023-12-22': 0}"
Sulcerato,"Sulcerato is a genus of small sea snails, marine gastropod mollusks in the family Eratoidae, the fal",133,3,906,125,4,"{'2023-10-24': None, '2023-10-25': None, '2023-10-26': 0, '2023-10-27': None, '2023-10-28': None, '2023-10-29': 0, '2023-10-30': None, '2023-10-31': None, '2023-11-01': 0, '2023-11-02': None, '2023-11-03': None, '2023-11-04': 0, '2023-11-05': None, '2023-11-06': None, '2023-11-07': None, '2023-11-08': 0, '2023-11-09': 1, '2023-11-10': None, '2023-11-11': 0, '2023-11-12': 0, '2023-11-13': None, '2023-11-14': 1, '2023-11-15': 1, '2023-11-16': 0, '2023-11-17': None, '2023-11-18': None, '2023-11-19': None, '2023-11-20': 0, '2023-11-21': None, '2023-11-22': None, '2023-11-23': None, '2023-11-24': None, '2023-11-25': 0, '2023-11-26': None, '2023-11-27': None, '2023-11-28': None, '2023-11-29': None, '2023-11-30': None, '2023-12-01': None, '2023-12-02': None, '2023-12-03': None, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': None, '2023-12-07': None, '2023-12-08': 1, '2023-12-09': None, '2023-12-10': None, '2023-12-11': None, '2023-12-12': None, '2023-12-13': None, '2023-12-14': 0, '2023-12-15': None, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': None, '2023-12-19': None, '2023-12-20': None, '2023-12-21': None, '2023-12-22': None}"
Leonardo Zarosa,"Leonardo Iván Zarosa (born September 12, 1989) is an Argentine professional footballer who plays as ",324,4,782,113,3,"{'2023-10-24': None, '2023-10-25': 0, '2023-10-26': None, '2023-10-27': 0, '2023-10-28': None, '2023-10-29': 0, '2023-10-30': 0, '2023-10-31': None, '2023-11-01': None, '2023-11-02': None, '2023-11-03': None, '2023-11-04': 3, '2023-11-05': 0, '2023-11-06': None, '2023-11-07': 0, '2023-11-08': 0, '2023-11-09': None, '2023-11-10': 0, '2023-11-11': None, '2023-11-12': 0, '2023-11-13': 1, '2023-11-14': 0, '2023-11-15': 1, '2023-11-16': 1, '2023-11-17': 0, '2023-11-18': None, '2023-11-19': 1, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': None, '2023-11-25': None, '2023-11-26': 0, '2023-11-27': None, '2023-11-28': 0, '2023-11-29': 1, '2023-11-30': 0, '2023-12-01': 1, '2023-12-02': 0, '2023-12-03': 0, '2023-12-04': 1, '2023-12-05': 0, '2023-12-06': None, '2023-12-07': None, '2023-12-08': None, '2023-12-09': None, '2023-12-10': 0, '2023-12-11': 0, '2023-12-12': 0, '2023-12-13': 1, '2023-12-14': 2, '2023-12-15': None, '2023-12-16': None, '2023-12-17': 0, '2023-12-18': 2, '2023-12-19': 1, '2023-12-20': 0, '2023-12-21': None, '2023-12-22': None}"
Left production,"Within the economy of the Soviet Union, ""Left"" production (Russian: ""левая"" продукция) referred to g",972,0,972,156,1,"{'2023-10-24': 0, '2023-10-25': 2, '2023-10-26': None, '2023-10-27': None, '2023-10-28': 0, '2023-10-29': 0, '2023-10-30': None, '2023-10-31': None, '2023-11-01': None, '2023-11-02': None, '2023-11-03': 0, '2023-11-04': 0, '2023-11-05': None, '2023-11-06': None, '2023-11-07': None, '2023-11-08': None, '2023-11-09': 0, '2023-11-10': 2, '2023-11-11': None, '2023-11-12': None, '2023-11-13': 0, '2023-11-14': 2, '2023-11-15': 1, '2023-11-16': 0, '2023-11-17': 0, '2023-11-18': 0, '2023-11-19': 2, '2023-11-20': None, '2023-11-21': 0, '2023-11-22': None, '2023-11-23': 1, '2023-11-24': None, '2023-11-25': None, '2023-11-26': None, '2023-11-27': None, '2023-11-28': 0, '2023-11-29': 1, '2023-11-30': 1, '2023-12-01': 1, '2023-12-02': 1, '2023-12-03': 1, '2023-12-04': 1, '2023-12-05': None, '2023-12-06': 1, '2023-12-07': None, '2023-12-08': None, '2023-12-09': None, '2023-12-10': 4, '2023-12-11': 0, '2023-12-12': 1, '2023-12-13': 0, '2023-12-14': None, '2023-12-15': None, '2023-12-16': 1, '2023-12-17': 2, '2023-12-18': 2, '2023-12-19': 0, '2023-12-20': None, '2023-12-21': 1, '2023-12-22': 0}"
Ruth Sonntag Nussenzweig,Ruth Sonntag Nussenzweig (20 June 1928 – 1 April 2018) was an Austrian-Brazilian immunologist specia,497,4,4524,627,5,"{'2023-10-24': 1, '2023-10-25': 5, '2023-10-26': 4, '2023-10-27': 4, '2023-10-28': 2, '2023-10-29': 0, '2023-10-30': 3, '2023-10-31': 5, '2023-11-01': 1, '2023-11-02': 2, '2023-11-03': 2, '2023-11-04': 0, '2023-11-05': 1, '2023-11-06': 2, '2023-11-07': 2, '2023-11-08': None, '2023-11-09': 0, '2023-11-10': 1, '2023-11-11': 1, '2023-11-12': 3, '2023-11-13': 2, '2023-11-14': 5, '2023-11-15': 2, '2023-11-16': 1, '2023-11-17': 5, '2023-11-18': 0, '2023-11-19': 3, '2023-11-20': 0, '2023-11-21': 1, '2023-11-22': 2, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': 0, '2023-11-26': 0, '2023-11-27': 0, '2023-11-28': 2, '2023-11-29': 1, '2023-11-30': 1, '2023-12-01': 1, '2023-12-02': 0, '2023-12-03': 1, '2023-12-04': 2, '2023-12-05': 2, '2023-12-06': 1, '2023-12-07': 0, '2023-12-08': 2, '2023-12-09': 0, '2023-12-10': 1, '2023-12-11': 1, '2023-12-12': 2, '2023-12-13': 3, '2023-12-14': 1, '2023-12-15': 1, '2023-12-16': 2, '2023-12-17': 2, '2023-12-18': None, '2023-12-19': 1, '2023-12-20': 4, '2023-12-21': 5, '2023-12-22': 0}"
Allan Hawkey,"Allan Charles Hawkey (born 1941) is a cartoonist based in Hamilton, New Zealand. He was editorial ca",262,2,716,106,1,"{'2023-10-24': 0, '2023-10-25': 0, '2023-10-26': 0, '2023-10-27': None, '2023-10-28': 0, '2023-10-29': None, '2023-10-30': 1, '2023-10-31': 0, '2023-11-01': 0, '2023-11-02': 1, '2023-11-03': 0, '2023-11-04': 0, '2023-11-05': 0, '2023-11-06': 0, '2023-11-07': 0, '2023-11-08': None, '2023-11-09': 0, '2023-11-10': 1, '2023-11-11': 0, '2023-11-12': 3, '2023-11-13': 0, '2023-11-14': 0, '2023-11-15': 0, '2023-11-16': 0, '2023-11-17': 0, '2023-11-18': 1, '2023-11-19': 0, '2023-11-20': 0, '2023-11-21': 0, '2023-11-22': 0, '2023-11-23': 0, '2023-11-24': 0, '2023-11-25': None, '2023-11-26': None, '2023-11-27': None, '2023-11-28': 1, '2023-11-29': 0, '2023-11-30': 0, '2023-12-01': None, '2023-12-02': 0, '2023-12-03': 0, '2023-12-04': 0, '2023-12-05': 0, '2023-12-06': 2, '2023-12-07': 0, '2023-12-08': None, '2023-12-09': 0, '2023-12-10': 0, '2023-12-11': 0, '2023-12-12': 0, '2023-12-13': None, '2023-12-14': 0, '2023-12-15': None, '2023-12-16': 0, '2023-12-17': 0, '2023-12-18': 0, '2023-12-19': None, '2023-12-20': 0, '2023-12-21': None, '2023-12-22': 0}"
Futodama,"Futodama (布刀玉命) is a god in Japanese mythology, claimed to be the ancestor of Imbe clan, whose chara",181,5,1604,268,5,"{'2023-10-24': 21, '2023-10-25': 25, '2023-10-26': 20, '2023-10-27': 14, '2023-10-28': 22, '2023-10-29': 14, '2023-10-30': 18, '2023-10-31': 20, '2023-11-01': 18, '2023-11-02': 14, '2023-11-03': 24, '2023-11-04': 15, '2023-11-05': 18, '2023-11-06': 11, '2023-11-07': 13, '2023-11-08': 18, '2023-11-09': 20, '2023-11-10': 16, '2023-11-11': 23, '2023-11-12': 12, '2023-11-13': 24, '2023-11-14': 15, '2023-11-15': 16, '2023-11-16': 26, '2023-11-17': 14, '2023-11-18': 18, '2023-11-19': 17, '2023-11-20': 9, '2023-11-21': 14, '2023-11-22': 24, '2023-11-23': 16, '2023-11-24': 8, '2023-11-25': 13, '2023-11-26': 19, '2023-11-27': 22, '2023-11-28': 21, '2023-11-29': 17, '2023-11-30': 17, '2023-12-01': 21, '2023-12-02': 15, '2023-12-03': 21, '2023-12-04': 11, '2023-12-05': 20, '2023-12-06': 17, '2023-12-07': 22, '2023-12-08': 15, '2023-12-09': 14, '2023-12-10': 11, '2023-12-11': 16, '2023-12-12': 19, '2023-12-13': 15, '2023-12-14': 12, '2023-12-15': 13, '2023-12-16': 17, '2023-12-17': 29, '2023-12-18': 23, '2023-12-19': 20, '2023-12-20': 17, '2023-12-21': 22, '2023-12-22': 10}"
Yi Sun-sin,"Yi Sun-sin (Korean: 이순신; Korean pronunciation: [i.sʰun.ɕin]; April 28, 1545 – December 16, 1598) was",1279,11,43774,7254,45,"{'2023-10-24': 672, '2023-10-25': 681, '2023-10-26': 3959, '2023-10-27': 778, '2023-10-28': 664, '2023-10-29': 871, '2023-10-30': 741, '2023-10-31': 722, '2023-11-01': 660, '2023-11-02': 686, '2023-11-03': 687, '2023-11-04': 678, '2023-11-05': 785, '2023-11-06': 779, '2023-11-07': 698, '2023-11-08': 703, '2023-11-09': 728, '2023-11-10': 701, '2023-11-11': 644, '2023-11-12': 747, '2023-11-13': 793, '2023-11-14': 748, '2023-11-15': 683, '2023-11-16': 832, '2023-11-17': 711, '2023-11-18': 689, '2023-11-19': 741, '2023-11-20': 731, '2023-11-21': 738, '2023-11-22': 762, '2023-11-23': 784, '2023-11-24': 677, '2023-11-25': 732, '2023-11-26': 660, '2023-11-27': 698, '2023-11-28': 680, '2023-11-29': 661, '2023-11-30': 610, '2023-12-01': 622, '2023-12-02': 661, '2023-12-03': 756, '2023-12-04': 659, '2023-12-05': 787, '2023-12-06': 590, '2023-12-07': 708, '2023-12-08': 673, '2023-12-09': 608, '2023-12-10': 710, '2023-12-11': 743, '2023-12-12': 688, '2023-12-13': 726, '2023-12-14': 656, '2023-12-15': 622, '2023-12-16': 2893, '2023-12-17': 705, '2023-12-18': 668, '2023-12-19': 677, '2023-12-20': 725, '2023-12-21': 745, '2023-12-22': 624}"
Jorge Anegon,"Jorge Anegon (born in the Principado de Asturias, Spain on 5 February 1991) is a Spanish actor who h",448,3,1790,286,1,"{'2023-10-24': 6, '2023-10-25': 3, '2023-10-26': 3, '2023-10-27': 2, '2023-10-28': 6, '2023-10-29': 6, '2023-10-30': 6, '2023-10-31': 5, '2023-11-01': 14, '2023-11-02': 3, '2023-11-03': 6, '2023-11-04': 3, '2023-11-05': 5, '2023-11-06': 1, '2023-11-07': 0, '2023-11-08': 2, '2023-11-09': 0, '2023-11-10': 5, '2023-11-11': 0, '2023-11-12': 1, '2023-11-13': 0, '2023-11-14': 0, '2023-11-15': 1, '2023-11-16': 4, '2023-11-17': None, '2023-11-18': 7, '2023-11-19': 4, '2023-11-20': 3, '2023-11-21': 2, '2023-11-22': 1, '2023-11-23': 4, '2023-11-24': 18, '2023-11-25': 19, '2023-11-26': 4, '2023-11-27': 6, '2023-11-28': 1, '2023-11-29': 5, '2023-11-30': None, '2023-12-01': 3, '2023-12-02': 5, '2023-12-03': 1, '2023-12-04': 1, '2023-12-05': 2, '2023-12-06': 4, '2023-12-07': 6, '2023-12-08': 3, '2023-12-09': 2, '2023-12-10': 3, '2023-12-11': 3, '2023-12-12': 1, '2023-12-13': 3, '2023-12-14': 0, '2023-12-15': 3, '2023-12-16': 1, '2023-12-17': 2, '2023-12-18': 3, '2023-12-19': 2, '2023-12-20': 4, '2023-12-21': 10, '2023-12-22': 6}"
Clara Livingston,"Clara Livingston (1900 in Chautauqua, New York,– January 29, 1992 in Puerto Rico) was the 200th lice",799,2,966,162,1,"{'2023-10-24': 1, '2023-10-25': 1, '2023-10-26': 3, '2023-10-27': 2, '2023-10-28': 8, '2023-10-29': 2, '2023-10-30': 4, '2023-10-31': 2, '2023-11-01': 2, '2023-11-02': 3, '2023-11-03': None, '2023-11-04': 6, '2023-11-05': 0, '2023-11-06': 4, '2023-11-07': 1, '2023-11-08': 3, '2023-11-09': 1, '2023-11-10': 1, '2023-11-11': 2, '2023-11-12': 3, '2023-11-13': None, '2023-11-14': 1, '2023-11-15': 2, '2023-11-16': 2, '2023-11-17': 2, '2023-11-18': 2, '2023-11-19': 2, '2023-11-20': 1, '2023-11-21': 1, '2023-11-22': 3, '2023-11-23': 1, '2023-11-24': 2, '2023-11-25': 2, '2023-11-26': 6, '2023-11-27': 1, '2023-11-28': 1, '2023-11-29': 1, '2023-11-30': 7, '2023-12-01': 2, '2023-12-02': 2, '2023-12-03': 1, '2023-12-04': 0, '2023-12-05': None, '2023-12-06': 1, '2023-12-07': 0, '2023-12-08': 1, '2023-12-09': 1, '2023-12-10': 4, '2023-12-11': 2, '2023-12-12': 9, '2023-12-13': 1, '2023-12-14': 6, '2023-12-15': 5, '2023-12-16': 5, '2023-12-17': 1, '2023-12-18': 3, '2023-12-19': 1, '2023-12-20': 2, '2023-12-21': 4, '2023-12-22': 0}"
Erick Mendonça,Erick Olim Mendonça (born 21 July 1995) is a Mexican-born Portuguese futsal player who plays for Spo,444,3,836,127,5,"{'2023-10-24': 10, '2023-10-25': 12, '2023-10-26': 7, '2023-10-27': 4, '2023-10-28': 11, '2023-10-29': 2, '2023-10-30': 2, '2023-10-31': 0, '2023-11-01': 5, '2023-11-02': 8, '2023-11-03': 7, '2023-11-04': 6, '2023-11-05': 4, '2023-11-06': 4, '2023-11-07': 7, '2023-11-08': 2, '2023-11-09': 6, '2023-11-10': 8, '2023-11-11': 1, '2023-11-12': 4, '2023-11-13': 5, '2023-11-14': 1, '2023-11-15': 1, '2023-11-16': 2, '2023-11-17': 11, '2023-11-18': 11, '2023-11-19': 6, '2023-11-20': 1, '2023-11-21': 9, '2023-11-22': 4, '2023-11-23': 2, '2023-11-24': 6, '2023-11-25': 2, '2023-11-26': 14, '2023-11-27': 13, '2023-11-28': 24, '2023-11-29': 6, '2023-11-30': 8, '2023-12-01': 9, '2023-12-02': 14, '2023-12-03': 13, '2023-12-04': 4, '2023-12-05': 7, '2023-12-06': 10, '2023-12-07': 6, '2023-12-08': 3, '2023-12-09': 24, '2023-12-10': 22, '2023-12-11': 1, '2023-12-12': 4, '2023-12-13': 3, '2023-12-14': 16, '2023-12-15': 26, '2023-12-16': 9, '2023-12-17': 9, '2023-12-18': 3, '2023-12-19': 5, '2023-12-20': 12, '2023-12-21': 10, '2023-12-22': 5}"
Gameframe,A gameframe is a hybrid computer system that was first used in the online video game industry. It is,237,3,2710,411,1,"{'2023-10-24': 18, '2023-10-25': 20, '2023-10-26': 17, '2023-10-27': 26, '2023-10-28': 25, '2023-10-29': 16, '2023-10-30': 30, '2023-10-31': 15, '2023-11-01': 30, '2023-11-02': 16, '2023-11-03': 18, '2023-11-04': 21, '2023-11-05': 17, '2023-11-06': 27, '2023-11-07': 18, '2023-11-08': 24, '2023-11-09': 19, '2023-11-10': 15, '2023-11-11': 7, '2023-11-12': 8, '2023-11-13': 17, '2023-11-14': 19, '2023-11-15': 21, '2023-11-16': 21, '2023-11-17': 14, '2023-11-18': 11, '2023-11-19': 19, '2023-11-20': 20, '2023-11-21': 13, '2023-11-22': 22, '2023-11-23': 13, '2023-11-24': 8, '2023-11-25': 14, '2023-11-26': 13, '2023-11-27': 11, '2023-11-28': 18, '2023-11-29': 26, '2023-11-30': 31, '2023-12-01': 10, '2023-12-02': 9, '2023-12-03': 26, '2023-12-04': 22, '2023-12-05': 16, '2023-12-06': 17, '2023-12-07': 12, '2023-12-08': 19, '2023-12-09': 17, '2023-12-10': 13, '2023-12-11': 19, '2023-12-12': 20, '2023-12-13': 19, '2023-12-14': 16, '2023-12-15': 21, '2023-12-16': 15, '2023-12-17': 19, '2023-12-18': 18, '2023-12-19': 18, '2023-12-20': 11, '2023-12-21': 23, '2023-12-22': 12}"
Menon (cookbook author),Menon was the most prolific cookbook author in 18th-century France. Very little is known of his life,977,4,2109,332,5,"{'2023-10-24': 5, '2023-10-25': 10, '2023-10-26': 6, '2023-10-27': 5, '2023-10-28': 8, '2023-10-29': 5, '2023-10-30': 3, '2023-10-31': 3, '2023-11-01': 6, '2023-11-02': 3, '2023-11-03': 2, '2023-11-04': 3, '2023-11-05': 4, '2023-11-06': 2, '2023-11-07': 10, '2023-11-08': 3, '2023-11-09': 7, '2023-11-10': 6, '2023-11-11': 7, '2023-11-12': 5, '2023-11-13': 8, '2023-11-14': 13, '2023-11-15': 3, '2023-11-16': 11, '2023-11-17': 4, '2023-11-18': 2, '2023-11-19': 4, '2023-11-20': 6, '2023-11-21': 5, '2023-11-22': 2, '2023-11-23': 9, '2023-11-24': 10, '2023-11-25': 5, '2023-11-26': 10, '2023-11-27': 10, '2023-11-28': 6, '2023-11-29': 7, '2023-11-30': 5, '2023-12-01': 1, '2023-12-02': 5, '2023-12-03': 2, '2023-12-04': 8, '2023-12-05': 5, '2023-12-06': 4, '2023-12-07': 5, '2023-12-08': 6, '2023-12-09': 3, '2023-12-10': 1, '2023-12-11': 5, '2023-12-12': 5, '2023-12-13': 0, '2023-12-14': 3, '2023-12-15': 3, '2023-12-16': 5, '2023-12-17': 2, '2023-12-18': 3, '2023-12-19': 10, '2023-12-20': 8, '2023-12-21': 6, '2023-12-22': 2}"
Pape Mour Faye,"Pape Mour Faye (ファイ・パプ月瑠, Fai Papu Muru),or Pape Faye, born June 22, 1986, is a Senegal-born Japanes",362,1,425,69,2,"{'2023-10-24': 2, '2023-10-25': 1, '2023-10-26': 2, '2023-10-27': 4, '2023-10-28': 1, '2023-10-29': 3, '2023-10-30': 6, '2023-10-31': 2, '2023-11-01': 6, '2023-11-02': 3, '2023-11-03': 1, '2023-11-04': 8, '2023-11-05': 8, '2023-11-06': 2, '2023-11-07': 2, '2023-11-08': 3, '2023-11-09': 7, '2023-11-10': 6, '2023-11-11': 2, '2023-11-12': 3, '2023-11-13': 4, '2023-11-14': 6, '2023-11-15': 3, '2023-11-16': 5, '2023-11-17': 4, '2023-11-18': 5, '2023-11-19': 0, '2023-11-20': 3, '2023-11-21': 3, '2023-11-22': 1, '2023-11-23': 6, '2023-11-24': 2, '2023-11-25': 4, '2023-11-26': 1, '2023-11-27': 2, '2023-11-28': 8, '2023-11-29': 7, '2023-11-30': 2, '2023-12-01': 2, '2023-12-02': 5, '2023-12-03': 6, '2023-12-04': 1, '2023-12-05': 5, '2023-12-06': 6, '2023-12-07': 5, '2023-12-08': None, '2023-12-09': 8, '2023-12-10': 1, '2023-12-11': 3, '2023-12-12': 2, '2023-12-13': 4, '2023-12-14': 8, '2023-12-15': 10, '2023-12-16': 3, '2023-12-17': 1, '2023-12-18': 5, '2023-12-19': 2, '2023-12-20': 2, '2023-12-21': 1, '2023-12-22': 4}"
